group,word,pos,phonetic,definition,example,mnemonic,tags
AP Psychology: Biological Bases (Task 2),nerves,noun,/nɜːrvz/,"神经 (Bundled cables formed by many axons connecting the central nervous system with muscles, glands, and sensory organs)",The optic nerve carries over a million axon fibers from the retina to the thalamus.,Heavy multi-strand cables carrying biological data.,"AP Psychology, Ch3 Biological Bases, Neuron"
AP Psychology: Biological Bases (Task 2),synapse,noun,/ˈsɪn.æps/,突触 (The microscopic junction between the axon terminal of the sending neuron and the dendrite or cell body of the receiving neuron),Neurotransmitters diffuse across the synaptic gap in less than a millisecond.,The tiny gap where neurons snap/chat with chemicals.,"AP Psychology, Ch3 Biological Bases, Neuron"
AP Psychology: Biological Bases (Task 2),myelin sheath,noun,/ˈmaɪ.ə.lɪn ʃiːθ/,髓鞘 (Layer of fatty tissue encasing the axon that dramatically speeds up neural impulse transmission via saltatory conduction),"Multiple sclerosis results from the progressive degeneration of the myelin sheath, causing communication breakdown.",Plastic insulation around an electrical cord; speeds up the signal.,"AP Psychology, Ch3 Biological Bases, Neuron"
AP Psychology: Biological Bases (Task 2),soma/cell body,noun,/ˈsoʊ.mə / sel ˈbɒd.i/,胞体 (The metabolic life-support center of a neuron containing the nucleus and sustaining cell health),The soma integrates incoming electrical potentials from all dendrites before firing.,Soma = body: the core body keeping the neuron alive.,"AP Psychology, Ch3 Biological Bases, Neuron"
AP Psychology: Biological Bases (Task 2),axon,noun,/ˈæk.sɒn/,轴突 (Long fiber of a neuron through which neural electrical impulses pass to terminal branches to communicate with other cells),Some motor axons extend over a meter from the lower spine down to the muscles in the foot.,Axon = Away: sends messages Away from the cell body.,"AP Psychology, Ch3 Biological Bases, Neuron"
AP Psychology: Biological Bases (Task 2),dendrite,noun,/ˈden.draɪt/,"树突 (Bushy, branching extensions of a neuron that receive chemical messages and conduct impulses toward the cell body)",Dendrites possess numerous synaptic receptors where neurotransmitters bind.,Dendrites Deliver: tree branches reaching out to listen to neighbors.,"AP Psychology, Ch3 Biological Bases, Neuron"
AP Psychology: Biological Bases (Task 2),Neuron,noun,/ˈnjʊə.rɒn/,神经元 (A nerve cell; the fundamental building block of the nervous system specialized for electrochemical signaling),Each sensory neuron transmits environmental impulses toward the spinal cord and brain.,The single micro-transistor and communicator of the brain.,"AP Psychology, Ch3 Biological Bases, Neuron"
AP Psychology: Biological Bases (Task 2),corpus callosum,noun,/ˌkɔːr.pəs kəˈloʊ.səm/,"胼胝体 (The wide band of axon fibers connecting the left and right cerebral hemispheres, facilitating interhemispheric communication)","In split-brain surgery, the corpus callosum is severed to prevent severe epileptic seizures from spreading.",Corpus Call-Someone: the phone cable calling between left and right hemispheres.,"AP Psychology, Ch3 Biological Bases, Brain"
AP Psychology: Biological Bases (Task 2),cerebral hemisphere,noun,/səˈriː.brəl ˈhem.ɪ.sfɪər/,"大脑半球 (The left and right symmetrical halves of the cerebrum, each specialized for distinct cognitive functions)","In most people, the left cerebral hemisphere is specialized for language, while the right handles spatial perception.",Half of the spherical cerebrum.,"AP Psychology, Ch3 Biological Bases, Brain"
AP Psychology: Biological Bases (Task 2),temporal lobes,noun,/ˈtem.pər.əl loʊbz/,"颞叶 (Cortex region above the ears containing auditory cortex and Wernicke's area; processes hearing, speech comprehension, and face recognition)",The primary auditory cortex in the temporal lobes decodes musical pitch and speech sounds.,Near your temples and ears: Tempo (music/hearing) and Tone.,"AP Psychology, Ch3 Biological Bases, Brain"
AP Psychology: Biological Bases (Task 2),occipital lobes,noun,/ɒkˈsɪp.ɪ.təl loʊbz/,枕叶 (Cortex region at the back of head containing visual cortex; processes visual information),A blow to the occipital lobes can cause temporary blindness or seeing stars.,Occipital = Optical / Octopus with eyes on the back of its head.,"AP Psychology, Ch3 Biological Bases, Brain"
AP Psychology: Biological Bases (Task 2),parietal lobes,noun,/pəˈraɪ.ə.təl loʊbz/,"顶叶 (Cortex region at top-rear of head containing somatosensory cortex; processes touch, body position, and spatial orientation)","The somatosensory strip in the parietal lobes registers sensations of warmth, pressure, and pain.",Parietal = Piranha bites you on the top of the head; you feel the touch and bite.,"AP Psychology, Ch3 Biological Bases, Brain"
AP Psychology: Biological Bases (Task 2),frontal lobes,noun,/ˈfrʌn.təl loʊbz/,"额叶 (Portion of cerebral cortex behind forehead involved in speaking, muscle movement, planning, judgement, and impulse control)","Phineas Gage suffered damage to his frontal lobes, dramatically altering his personality and social restraint.","At the front of your head: the CEO of the brain, making plans and decisions.","AP Psychology, Ch3 Biological Bases, Brain"
AP Psychology: Biological Bases (Task 2),cerebral cortex,noun,/səˈriː.brəl ˈkɔːr.teks/,"大脑皮层 (The intricate, wrinkled outer layer of gray matter covering cerebral hemispheres; the body's ultimate control and information-processing center)",The convoluted folding of the cerebral cortex dramatically increases its surface area inside the cranium.,Cortex = bark of a tree: the wrinkled outer bark of the brain.,"AP Psychology, Ch3 Biological Bases, Brain"
AP Psychology: Biological Bases (Task 2),cerebrum,noun,/səˈriː.brəm/,"大脑 (The largest part of the human brain comprising two cerebral hemispheres responsible for thought, language, and perception)","The cerebrum enables complex decision making, creative reasoning, and conscious experience.",Cerebrum = the big thinking brain.,"AP Psychology, Ch3 Biological Bases, Brain"
AP Psychology: Biological Bases (Task 2),hippocampus,noun,/ˌhɪp.əˈkæm.pəs/,海马 (Curved neural structure in limbic system essential for consolidating new explicit memories into long-term storage),"Patient H.M. lost his hippocampus and could no longer form new episodic memories, while retaining older ones.","Hippo on campus: if you saw a hippo walking on your campus, you would definitely remember it!","AP Psychology, Ch3 Biological Bases, Brain, Limbic system"
AP Psychology: Biological Bases (Task 2),amygdala,noun,/əˈmɪɡ.də.lə/,"杏仁核 (Two almond-shaped neural clusters in the limbic system linked to emotional processing, particularly fear and aggression)","Damage to the amygdala in monkeys produces Kluver-Bucy syndrome, characterized by a lack of fear.",Amygdala sounds like 'Amy G. Dala' — a scary monster triggering panic and anger; almond-shaped.,"AP Psychology, Ch3 Biological Bases, Brain, Limbic system"
AP Psychology: Biological Bases (Task 2),limbic system,noun,/ˈlɪm.bɪk ˈsɪs.təm/,"边缘系统 (Neural system located below cerebral hemispheres associated with emotions, drives, and memory; includes amygdala, hippocampus, hypothalamus)",The limbic system bridges primitive brainstem reflexes with advanced cortical deliberation.,"Hungry, angry, emotional, and remembering: HAH (Hippocampus, Amygdala, Hypothalamus).","AP Psychology, Ch3 Biological Bases, Brain, Limbic system"
AP Psychology: Biological Bases (Task 2),cerebellum,noun,/ˌser.əˈbel.əm/,"小脑 (The 'little brain' at the rear of brainstem; processes sensory input, coordinates balance, posture, and procedural motor memory)","Alcohol consumption impairs cerebellum function, resulting in slurred speech and loss of equilibrium.",Cere-BELL-um: like a ballerina balancing on a tightrope; bell ringer balance.,"AP Psychology, Ch3 Biological Bases, Brain"
AP Psychology: Biological Bases (Task 2),thalamus,noun,/ˈθæl.ə.məs/,丘脑 (The brain's sensory switchboard atop the brainstem; directs all incoming sensory signals except smell to the cortex),Visual signals from the retina pass through the lateral geniculate nucleus of the thalamus before reaching the occipital lobe.,Hal & Amos: traffic cops directing all sensory traffic (except smell!).,"AP Psychology, Ch3 Biological Bases, Brain"
AP Psychology: Biological Bases (Task 2),diencephalon,noun,/ˌdaɪ.enˈsef.ə.lɒn/,间脑 (Forebrain division between cerebrum and midbrain containing the thalamus and hypothalamus),The diencephalon acts as the primary relay and endocrine regulation center of the central nervous system.,Di = two (Thalamus and Hypothalamus).,"AP Psychology, Ch3 Biological Bases, Brain"
AP Psychology: Biological Bases (Task 2),reticular formation,noun,/rɪˈtɪk.jə.lər fɔːrˈmeɪ.ʃən/,网状结构 (Nerve network traveling through brainstem that plays a central role in controlling alertness and arousal),"If the reticular formation is severed, an animal lapses into an irreversible coma.",Re-Tickle-ar: tickle me awake; controls arousal and waking up.,"AP Psychology, Ch3 Biological Bases, Brain"
AP Psychology: Biological Bases (Task 2),midbrain,noun,/ˈmɪd.breɪn/,中脑 (Segment of brainstem between pons and diencephalon integrating sensory information with motor output and dopamine production),The substantia nigra in the midbrain produces dopamine crucial for smooth voluntary movement.,"In the middle of the brainstem, routing visual and auditory orientation reflexes.","AP Psychology, Ch3 Biological Bases, Brain"
AP Psychology: Biological Bases (Task 2),pons,noun,/pɒnz/,"脑桥 (Structure above medulla that acts as a bridge coordinating movement, facial expressions, and sleep/dream states)",The pons contains nuclei that initiate REM sleep and suppress muscle activity during dreaming.,"Pons = French for bridge (pont) / pond: relax near the pond for sleep, dreams, and coordination.","AP Psychology, Ch3 Biological Bases, Brain"
AP Psychology: Biological Bases (Task 2),medulla,noun,/məˈdʌl.ə/,"延髓 (Base of brainstem controlling heartbeat, respiration, swallowing, and vomiting reflexes)",The medulla keeps you breathing automatically even when in deep unconscious sleep.,Med-medal: wearing a medal over your heart and lungs (controls heartbeat & breathing).,"AP Psychology, Ch3 Biological Bases, Brain"
AP Psychology: Biological Bases (Task 2),brainstem,noun,/ˈbreɪn.stem/,"脑干 (Oldest evolutionary brain region; controls automatic survival functions like breathing, heartbeat, and blood pressure)",Damage to the brainstem is often fatal because it regulates involuntary vital functions.,"The stem that holds up the flower; without the stem, the whole brain dies.","AP Psychology, Ch3 Biological Bases, Brain"
AP Psychology: Biological Bases (Task 2),parasympathetic nervous system (PNS),noun,/ˌpær.əˌsɪm.pəˈθet.ɪk ˈnɜːr.vəs ˈsɪs.təm/,副交感神经系统 (Division of ANS that calms the body to conserve energy; the rest-and-digest system),"After the danger passes, the parasympathetic nervous system slows heart rate and stimulates digestion.","Para-parachute / Peace: restores peace, Rest & Digest.","AP Psychology, Ch3 Biological Bases, Nervous system"
AP Psychology: Biological Bases (Task 2),sympathetic nervous system (SNS),noun,/ˌsɪm.pəˈθet.ɪk ˈnɜːr.vəs ˈsɪs.təm/,交感神经系统 (Division of ANS that mobilizes energy in stressful situations; the fight-or-flight system),"When you encounter a snake on a trail, your sympathetic nervous system accelerates your heart and dilates pupils.",Has 'sympathy' for you when you are in danger: powers up Fight or Flight!,"AP Psychology, Ch3 Biological Bases, Nervous system"
AP Psychology: Biological Bases (Task 2),autonomic nervous system (ANS),noun,/ˌɔː.təˈnɑː.mɪk ˈnɜːr.vəs ˈsɪs.təm/,"自主神经系统 (Subdivision of PNS regulating involuntary vegetative processes: glands, heart rate, digestion)","The ANS maintains homeostasis automatically, regulating heartbeat and pupil dilation without conscious effort.",Automatic / Autonomic: operates on autopilot.,"AP Psychology, Ch3 Biological Bases, Nervous system"
AP Psychology: Biological Bases (Task 2),somatic nervous system,noun,/soʊˈmæt.ɪk ˈnɜːr.vəs ˈsɪs.təm/,躯体神经系统 (Subdivision of PNS controlling voluntary movements of skeletal muscles and relaying sensory input),Deciding to wave your hand relies on motor neurons in the somatic nervous system.,Soma = body; voluntary bodily muscle actions.,"AP Psychology, Ch3 Biological Bases, Nervous system"
AP Psychology: Biological Bases (Task 2),peripheral nervous system (PNS),noun,/pəˈrɪf.ər.əl ˈnɜːr.vəs ˈsɪs.təm/,外周神经系统 (Sensory and motor neurons connecting the central nervous system to the rest of the body),The PNS branches outward into somatic and autonomic systems.,"Peripheral = on the outer edge, reaching hands, feet, and internal organs.","AP Psychology, Ch3 Biological Bases, Nervous system"
AP Psychology: Biological Bases (Task 2),spinal cord,noun,/ˈspaɪ.nəl kɔːrd/,脊髓 (Thick column of neural tissue connecting brain to peripheral nerves and mediating simple reflexes),The knee-jerk reflex is mediated directly by interneurons in the spinal cord without brain intervention.,The information highway running down the spine.,"AP Psychology, Ch3 Biological Bases, Nervous system"
AP Psychology: Biological Bases (Task 2),brain,noun,/breɪn/,"脑 (The primary organ of the central nervous system coordinating thought, emotion, sensory perception, and action)",The brain contains approximately 86 billion neurons communicating through trillions of synapses.,The supreme master computer of mind and behavior.,"AP Psychology, Ch3 Biological Bases, Nervous system, Brain"
AP Psychology: Biological Bases (Task 2),central nervous system (CNS),noun,/ˈsen.trəl ˈnɜːr.vəs ˈsɪs.təm/,中枢神经系统 (The core decision-making division of the nervous system consisting of the brain and spinal cord),"The CNS coordinates high-level cognitive processes, sensory perception, and motor coordination.",Central command center: Head (brain) and Backbone (spinal cord).,"AP Psychology, Ch3 Biological Bases, Nervous system"
AP Psychology: Biological Bases (Task 2),Nervous system,noun,/ˈnɜːr.vəs ˈsɪs.təm/,"神经系统 (The body's speedy, electrochemical communication network comprising all nerve cells)",The nervous system processes sensory information and transmits motor commands in milliseconds.,The electrical wiring grid of the human body.,"AP Psychology, Ch3 Biological Bases, Nervous system"
AP Psychology: Biological Bases (Task 2),melatonin,noun,/ˌmel.əˈtoʊ.nɪn/,"褪黑激素 (Pineal hormone regulating sleep-wake circadian cycles; rises in darkness, drops in light)","Exposure to blue screen light before bedtime suppresses melatonin, causing insomnia.",Mellow-tonin makes you mellow and sleepy when the lights go down.,"AP Psychology, Ch3 Biological Bases, Endocrine system"
AP Psychology: Biological Bases (Task 2),pineal gland,noun,/ˈpaɪ.ni.əl ɡlænd/,松果体 (Small endocrine gland in the brain producing melatonin to modulate sleep-wake circadian cycles),The pineal gland responds to darkness by increasing melatonin synthesis.,Pinecone-shaped gland in the center of the brain controlling night sleep.,"AP Psychology, Ch3 Biological Bases, Endocrine system"
AP Psychology: Biological Bases (Task 2),oxytocin,noun,/ˌɑːk.sɪˈtoʊ.sɪn/,"催产素 (Pituitary hormone facilitating social bonding, maternal attachment, empathy, and uterine contractions)","Oxytocin, often called the 'cuddle hormone', promotes trust between mother and infant during nursing.","Oxy-TOC-in: Touch, Oxy, Caring — the love and social bonding hormone.","AP Psychology, Ch3 Biological Bases, Endocrine system"
AP Psychology: Biological Bases (Task 2),testosterone,noun,/tesˈtɒs.tər.oʊn/,睾酮 (Primary male sex hormone produced in testes and adrenals stimulating male sexual traits and aggression),Higher levels of testosterone have been correlated with risk-taking and competitive behavior.,Testes -> testosterone.,"AP Psychology, Ch3 Biological Bases, Endocrine system"
AP Psychology: Biological Bases (Task 2),adrenaline/epinephrine,noun,/əˈdren.əl.ɪn / ˌep.əˈnef.rɪn/,肾上腺素 (Hormone secreted by adrenal medulla that increases cardiac output and raises glucose levels in emergencies),"The sight of the oncoming truck triggered an adrenaline rush, preparing her to jump out of the way.",Epi (above) + nephros (kidney) -> adrenaline powers the fight-or-flight burst.,"AP Psychology, Ch3 Biological Bases, Endocrine system"
AP Psychology: Biological Bases (Task 2),adrenal gland,noun,/əˈdriː.nəl ɡlænd/,肾上腺 (Pair of endocrine glands situated above kidneys that secrete epinephrine and norepinephrine in stress),"During a flight-or-fight emergency, the adrenal glands release adrenaline to surge blood sugar and heart rate.",Ad-renal: adjacent to the renal (kidneys).,"AP Psychology, Ch3 Biological Bases, Endocrine system"
AP Psychology: Biological Bases (Task 2),growth hormone,noun,/ɡroʊθ ˈhɔːr.moʊn/,生长激素 (Anterior pituitary hormone that stimulates somatic growth and cellular reproduction),"An oversecretion of growth hormone during childhood causes gigantism, while undersecretion causes dwarfism.",GH directly fuels physical Growth and Height.,"AP Psychology, Ch3 Biological Bases, Endocrine system"
AP Psychology: Biological Bases (Task 2),pituitary gland,noun,/pɪˈtjuː.ɪ.tər.i ɡlænd/,垂体 (The endocrine system's master gland that under hypothalamus control regulates growth and other glands),The pituitary gland secretes growth hormone and triggers puberty.,Pit boss / master of all endocrine glands.,"AP Psychology, Ch3 Biological Bases, Endocrine system"
AP Psychology: Biological Bases (Task 2),hypothalamus,noun,/ˌhaɪ.poʊˈθæl.ə.məs/,"下丘脑 (Brain structure below thalamus governing maintenance activities: the 4 F's — fighting, fleeing, feeding, and mating)",The hypothalamus signals the pituitary gland to trigger endocrine responses during stress.,"Hypo (below) the thalamus; controls the 4 Fs: Feeding, Fleeing, Fighting, and Fornicating.","AP Psychology, Ch3 Biological Bases, Endocrine system, Limbic system"
AP Psychology: Biological Bases (Task 2),hormone,noun,/ˈhɔːr.moʊn/,激素 (Chemical messengers manufactured by endocrine glands that travel through the bloodstream),"Hormones regulate physiological processes including hunger, sleep, mood, and reproduction.",Hormones rush into the blood to set the body in motion.,"AP Psychology, Ch3 Biological Bases, Endocrine system"
AP Psychology: Biological Bases (Task 2),Endocrine system,noun,/ˈen.də.krɪn ˈsɪs.təm/,内分泌系统 (Glandular communication network that secretes hormones directly into the bloodstream),"The endocrine system works alongside the nervous system to coordinate metabolism, growth, and stress responses.",Endo = internal; secretes hormones inside the bloodstream slowly like radio broadcasts.,"AP Psychology, Ch3 Biological Bases, Endocrine system"
